row	angle	predicted_obs	measured_obs	error	dchi
330	87.130	0.73053E-01	0.85800E-01	0.40000E-02	-0.167E+01
331	92.870	0.75303E-01	0.83100E-01	0.43000E-02	-0.358E+00
332	98.630	0.77475E-01	0.86600E-01	0.40000E-02	-0.671E+00
333	104.480	0.79564E-01	0.80800E-01	0.36000E-02	0.149E+01
334	110.490	0.81557E-01	0.99400E-01	0.35000E-02	-0.316E+01
335	116.740	0.83440E-01	0.91400E-01	0.34000E-02	-0.301E+00
336	123.370	0.85202E-01	0.88800E-01	0.36000E-02	0.968E+00
337	130.540	0.86819E-01	0.93600E-01	0.34000E-02	0.128E+00
338	138.590	0.88277E-01	0.93900E-01	0.34000E-02	0.504E+00
339	148.210	0.89553E-01	0.97100E-01	0.36000E-02	-0.288E-01
340	161.810	0.90625E-01	0.98000E-01	0.34000E-02	0.464E-01
341	10.000	0.50378E-01	0.42000E-01	0.10000E-01	0.491E+00
342	30.000	0.54009E-01	0.41000E-01	0.50000E-02	0.186E+01
343	50.000	0.60409E-01	0.64000E-01	0.50000E-02	-0.155E+01
344	70.000	0.68376E-01	0.64000E-01	0.60000E-02	-0.558E-01
345	90.000	0.76694E-01	0.67000E-01	0.60000E-02	0.735E+00
346	110.000	0.84111E-01	0.78000E-01	0.70000E-02	0.451E-01
347	130.000	0.89541E-01	0.80000E-01	0.70000E-02	0.482E+00
348	150.000	0.92619E-01	0.92000E-01	0.70000E-02	-0.823E+00
349	170.000	0.93832E-01	0.58000E-01	0.16000E-01	0.184E+01
350	10.000	0.50378E-01	0.54000E-01	0.60000E-02	0.145E+00
351	30.000	0.54009E-01	0.58000E-01	0.50000E-02	0.165E+00
352	50.000	0.60409E-01	0.66000E-01	0.40000E-02	-0.509E-01
353	70.000	0.68376E-01	0.81000E-01	0.50000E-02	-0.131E+01
354	90.000	0.76694E-01	0.93000E-01	0.50000E-02	-0.189E+01
355	110.000	0.84111E-01	0.89000E-01	0.50000E-02	0.522E+00
356	130.000	0.89541E-01	0.10000E+00	0.50000E-02	-0.495E+00
357	150.000	0.92619E-01	0.97000E-01	0.60000E-02	0.647E+00
358	170.000	0.93832E-01	0.10300E+00	0.90000E-02	-0.889E-01
359	5.000	0.51985E-01	0.47000E-01	0.14000E-01	0.565E+00
360	15.000	0.52972E-01	0.65000E-01	0.80000E-02	-0.113E+01
361	25.000	0.54880E-01	0.46000E-01	0.70000E-02	0.171E+01
362	35.000	0.57585E-01	0.67000E-01	0.70000E-02	-0.881E+00
363	45.000	0.60936E-01	0.63000E-01	0.80000E-02	0.171E+00
364	55.000	0.64770E-01	0.80000E-01	0.80000E-02	-0.145E+01
365	65.000	0.68928E-01	0.72000E-01	0.80000E-02	0.102E+00
366	75.000	0.73252E-01	0.80000E-01	0.70000E-02	-0.374E+00
367	85.000	0.77582E-01	0.75000E-01	0.70000E-02	0.994E+00
