boundary	row	category	field	typed	forced_legacy
final	71	value	a1_real	1.9753584861755371E+000	1.9753354787826538E+000
final	71	value	a1_imag	-1.9951399008277804E-004	-1.9951806461904198E-004
final	71	value	a2_real	-4.5100295543670654E-001	-4.5098432898521423E-001
final	71	value	a2_imag	3.4875769168138504E-002	3.4875761717557907E-002
final	71	value	a3_real	-1.5436874628067017E+000	-1.5436731576919556E+000
final	71	value	a3_imag	1.4112464850768447E-004	1.4112754433881491E-004
final	71	value	a4_real	1.1893072724342346E-001	1.1891476064920425E-001
final	71	value	a4_imag	-2.4565579369664192E-002	-2.4565573781728745E-002
final	71	value	dsg	5.4546720348298550E-003	5.4545407183468342E-003
final	72	value	a1_real	1.8164131641387939E+000	1.8163920640945435E+000
final	72	value	a1_imag	-1.8185142835136503E-004	-1.8185512453783303E-004
final	72	value	a2_real	1.5651565790176392E-001	1.5654130280017853E-001
final	72	value	a2_imag	3.0200889334082603E-002	3.0200885608792305E-002
final	72	value	a3_real	-2.0359404087066650E+000	-2.0359218120574951E+000
final	72	value	a3_imag	1.8371576152276248E-004	1.8371953046880662E-004
final	72	value	a4_real	-4.8166164755821228E-001	-4.8168531060218811E-001
final	72	value	a4_imag	-3.0381290242075920E-002	-3.0381288379430771E-002
final	72	value	dsg	6.4596347510814667E-003	6.4595327712595463E-003
final	73	value	a1_real	1.3858172893524170E+000	1.3858021497726440E+000
final	73	value	a1_imag	-1.3752601807937026E-004	-1.3752879749517888E-004
final	73	value	a2_real	5.7082706689834595E-001	5.7083886861801147E-001
final	73	value	a2_imag	2.4574439972639084E-002	2.4574434384703636E-002
final	73	value	a3_real	-2.2278599739074707E+000	-2.2278409004211426E+000
final	73	value	a3_imag	1.9843345216941088E-004	1.9843749760184437E-004
final	73	value	a4_real	-1.2904477119445801E+000	-1.2904902696609497E+000
final	73	value	a4_imag	-3.5306360572576523E-002	-3.5306356847286224E-002
final	73	value	dsg	7.4442178010940552E-003	7.4442150071263313E-003
final	74	value	a1_real	8.3302092552185059E-001	8.3301174640655518E-001
final	74	value	a1_imag	-8.2030128396581858E-005	-8.2031794590875506E-005
final	74	value	a2_real	7.0908224582672119E-001	7.0910209417343140E-001
final	74	value	a2_imag	1.8156006932258606E-002	1.8156005069613457E-002
final	74	value	a3_real	-2.0184631347656250E+000	-2.0184462070465088E+000
final	74	value	a3_imag	1.7773808212950826E-004	1.7774170555640012E-004
final	74	value	a4_real	-2.1451385021209717E+000	-2.1451971530914307E+000
final	74	value	dsg	8.2808192819356918E-003	8.2809850573539734E-003
final	75	value	a1_real	3.3315888047218323E-001	3.3315530419349670E-001
final	75	value	a1_imag	-3.2619245757814497E-005	-3.2619904231978580E-005
final	75	value	a2_real	5.6582260131835938E-001	5.6583434343338013E-001
final	75	value	a3_real	-1.4087687730789185E+000	-1.4087569713592529E+000
final	75	value	a3_imag	1.2300272646825761E-004	1.2300524394959211E-004
final	75	value	a4_real	-2.8570809364318848E+000	-2.8571443557739258E+000
final	75	value	a4_imag	-4.1830372065305710E-002	-4.1830368340015411E-002
final	75	value	dsg	8.8730221614241600E-003	8.8733071461319923E-003
final	76	value	a1_real	3.8977980613708496E-002	3.8977552205324173E-002
final	76	value	a1_imag	-3.8046428016969003E-006	-3.8047194266255246E-006
final	76	value	a2_real	2.1417903900146484E-001	2.1418397128582001E-001
final	76	value	a2_imag	3.7559813354164362E-003	3.7559811025857925E-003
final	76	value	a3_real	-5.0550198554992676E-001	-5.0549781322479248E-001
final	76	value	a3_imag	4.3937779992120340E-005	4.3938667658949271E-005
final	76	value	a4_real	-3.2611238956451416E+000	-3.2611875534057617E+000
final	76	value	a4_imag	-4.3187029659748077E-002	-4.3187033385038376E-002
final	76	value	dsg	9.1742249205708504E-003	9.1745732352137566E-003
final	77	value	a2_real	-2.2345147132873535E+000	-2.2345356941223145E+000
final	77	value	a2_imag	-4.8674494028091431E-002	-4.8674508929252625E-002
final	77	value	a4_real	1.8765330314636230E-001	1.8765568733215332E-001
